C¢digo,Concepto,Unidad,Fecha,Cantidad,Precio,Importe,% Incidencia
,MATERIALES,,,,,,
ACEST050,"PLACA DE ACERO A-36 DE 1/4""",KG,20/09/2021,7.840000,$35.00,$274.40,0.00%
,DE ESPESOR,,,,,,
ACEST053,"PLACA DE ACERO A-36 DE 1/2""",KG,20/09/2021,46.200000,$35.00,"$1,617.00",0.01%
ACEST054,"PLACA DE ACERO A-36 DE 3/8""",KG,20/09/2021,73.920000,$35.00,"$2,587.20",0.02%
ACEST057,"PLACA DE ACERO A-36 DE 3/4""",KG,20/09/2021,580.270000,$35.00,"$20,309.45",0.18%
,DE ESPESOR,,,,,,
ACEST060,"ACERO REDONDO DE 3/4"" DE",KG,03/03/2021,141.420000,$34.50,"$4,878.99",0.04%
,DIAM.,,,,,,
ACEST076,"VIGA IR 8""x4"" (14.9 Kg/m)",KG,20/09/2021,99.000000,$30.30,"$2,999.70",0.03%
ACEST315a,"PERFIL PTR 6""x6""x1/4"" (28.30",KG,20/09/2021,899.657000,$42.60,"$38,325.39",0.35%
,Kg/m),,,,,,
ACEST534a,"VIGA IR 16"" x 46.2 kg/m",KG,20/09/2021,1555.092000,$30.30,"$47,119.29",0.43%
ADIT001,DESMOLDANTE PARA CIMBRA,LT,03/03/2021,682.843500,$41.53,"$28,358.49",0.26%
ALAMB003,ALAMBRE RECOCIDO CAL. 16,KG,20/09/2021,4549.967643,$34.00,"$154,698.90",1.41%
BOMBC01,BOMBEO DE CONCRETO,M3,20/09/2021,925.613220,$245.00,"$226,775.24",2.06%
CHMET003,CHAROLA METALICA 3.00  M x 12,DIA,03/03/2021,3154.567680,$1.16,"$3,659.30",0.03%
,CM,,,,,,
CIM0500,MO¥O PARA CIMBRA (TIRANTE,JGO,03/03/2021,4064.931875,$25.00,"$101,623.30",0.92%
,Y CU¥A),,,,,,
CLA001,"CLAVO DE 2 1/2"" Y 4"" ESTANDAR",KG,03/03/2021,845.440775,$17.39,"$14,702.22",0.13%
CONCPR360X,CONCRETO PREMEZCLADO,M3,20/09/2021,665.769220,"$1,860.00","$1,238,330.75",11.26%
,"F'C=350 KG/CM2, T.M.A. 19 MM,",,,,,,
,R.R.7D ESTRUCTURAL,,,,,,
CONCPR360Y,CONCRETO PREMEZCLADO,M3,20/09/2021,259.844000,"$1,784.00","$463,561.70",4.22%
,"F'C=350 KG/CM2, T.M.A. 19 MM,",,,,,,
,R.N. ESTRUCTURAL,,,,,,
IMP025,MEMBRANA DE CURADO,LT,03/03/2021,1812.821100,$26.08,"$47,278.37",0.43%
LOSAVTR001,SISTEMA VTR: Consta de,M2,03/03/2021,3502.000000,$580.00,"$2,031,160.00",18.47%
,VTR25-14A y Bovedilla de,,,,,,
,poliestireno a cada 90 cms,,,,,,
MAD001,MADERA DE PINO DE 2a.,PT,03/03/2021,17885.700250,$13.20,"$236,091.24",2.15%
MAD041,"POLIN DE 4""x4""x10' DE MADERA",PZA,03/03/2021,44.908776,$130.54,"$5,862.39",0.05%
,DE PINO DE 2DA.,,,,,,
MAD042,"BARROTE DE 2""x4""x10' DE",PZA,03/03/2021,8.519280,$65.30,$556.31,0.01%
,MADERA DE PINO DE 2DA.,,,,,,
MAD043,"DUELA DE 1""x4""x10' DE MADERA",PZA,03/03/2021,108.559968,$30.06,"$3,263.31",0.03%
,DE PINO DE 2DA.,,,,,,
MAD101,CIMBRAPLAY 19 MM DE ESP. 1,PZA,03/03/2021,138.640325,$570.00,"$79,024.99",0.72%
,"CARA, 1.22x2.44M",,,,,,
MALL005,MALLA ELECTROSOLDADA,M2,03/03/2021,3808.000000,$23.50,"$89,488.00",0.81%
,6x6-8/8,,,,,,
NEOPR008,"Placa de neopreno de 3/4""de 1m2",PZA,03/03/2021,1.620000,"$1,507.76","$2,442.57",0.02%
PINT0300,THINNER,LT,03/03/2021,7.938124,$21.28,$168.92,0.00%
PINT0800,PRIMARIO ANTICORROSIVO,LT,03/03/2021,38.054880,$59.35,"$2,258.56",0.02%
,P/HERRERIA,,,,,,
SOLDAD050,SOLDADURA E-6013,KG,03/03/2021,95.137200,$56.46,"$5,371.45",0.05%
SOLDAD060,OXIGENO,M3,03/03/2021,51.657950,$58.25,"$3,009.08",0.03%
