C¢digo,Concepto,Unidad,Fecha,Cantidad,Precio,Importe,% Incidencia
ACEST050,"PLACA DE ACERO A-36 DE 1/4""",KG,20/09/2021,7.84,$35.00,$274.40,0.00%
ACEST053,"PLACA DE ACERO A-36 DE 1/2""",KG,20/09/2021,46.2,$35.00,"$1,617.00",0.01%
ACEST054,"PLACA DE ACERO A-36 DE 3/8""",KG,20/09/2021,73.92,$35.00,"$2,587.20",0.02%
ACEST057,"PLACA DE ACERO A-36 DE 3/4""",KG,20/09/2021,580.27,$35.00,"$20,309.45",0.18%
ACEST060,"ACERO REDONDO DE 3/4"" DE",KG,03/03/2021,141.42,$34.50,"$4,878.99",0.04%
ACEST076,"VIGA IR 8""x4"" (14.9 Kg/m)",KG,20/09/2021,99,$30.30,"$2,999.70",0.03%
ACEST315a,"PERFIL PTR 6""x6""x1/4"" (28.30",KG,20/09/2021,899.657,$42.60,"$38,325.39",0.35%
ACEST534a,"VIGA IR 16"" x 46.2 kg/m",KG,20/09/2021,1555.092,$30.30,"$47,119.29",0.43%
ADIT001,DESMOLDANTE PARA CIMBRA,LT,03/03/2021,682.8435,$41.53,"$28,358.49",0.26%
ALAMB003,ALAMBRE RECOCIDO CAL. 16,KG,20/09/2021,4549.967643,$34.00,"$154,698.90",1.41%
BOMBC01,BOMBEO DE CONCRETO,M3,20/09/2021,925.61322,$245.00,"$226,775.24",2.06%
CHMET003,CHAROLA METALICA 3.00  M x 12,DIA,03/03/2021,3154.56768,$1.16,"$3,659.30",0.03%
